index,timestamp,utcOffset,surf_location,min_height,max_height,human_relation,swell_run_1,swell_height_1,swell_period_1,swell_direction_1,swell_run_2,swell_height_2,swell_period_2,swell_direction_2,swell_run_3,swell_height_3,swell_period_3,swell_direction_3
0,1670158800,11,Torquay Surf Beach,0,1,Knee to thigh,2022120412,2.29659,13,200.63,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0
1,1670162400,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.3294,13,200.22,2022120412,0.72178,3,200.63,2022120412,0.0,0,0.0
2,1670166000,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.42782,13,199.88,2022120412,0.98425,3,192.18,2022120412,0.0,0,0.0
3,1670169600,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.49344,13,199.71,2022120412,1.14829,4,192.73,2022120412,0.0,0,0.0
4,1670173200,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.55906,13,199.54,2022120412,1.27953,4,196.67,2022120412,0.0,0,0.0
5,1670176800,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.59186,12,199.61,2022120412,1.64042,4,203.84,2022120412,0.0,0,0.0
6,1670180400,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.62467,12,199.62,2022120412,2.69029,4,206.84,2022120412,0.0,0,0.0
7,1670184000,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.62467,12,199.63,2022120412,3.60892,5,206.09,2022120412,0.0,0,0.0
8,1670187600,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,2.59186,12,199.58,2022120412,3.9042,5,207.53,2022120412,0.0,0,0.0
9,1670191200,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,4.85564,12,205.84,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0
10,1670194800,11,Torquay Surf Beach,1,2,Thigh to stomach,2022120412,5.21654,12,206.73,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0
11,1670198400,11,Torquay Surf Beach,1,2,Thigh to waist,2022120412,0.0,0,0.0,2022120412,5.77428,6,206.38,2022120412,0.0,0,0.0
12,1670202000,11,Torquay Surf Beach,1,2,Thigh to stomach,2022120412,0.0,0,0.0,2022120412,6.49606,7,204.56,2022120412,0.0,0,0.0
13,1670205600,11,Torquay Surf Beach,1,3,Waist to chest,2022120412,0.0,0,0.0,2022120412,7.34908,9,201.66,2022120412,0.0,0,0.0
14,1670209200,11,Torquay Surf Beach,1,3,Waist to head,2022120412,0.0,0,0.0,2022120412,8.10367,9,199.44,2022120412,0.0,0,0.0
15,1670212800,11,Torquay Surf Beach,1,3,Waist to head,2022120412,0.0,0,0.0,2022120412,8.5958,9,198.18,2022120412,0.0,0,0.0
16,1670216400,11,Torquay Surf Beach,1,3,Waist to head,2022120412,0.0,0,0.0,2022120412,8.85827,9,197.37,2022120412,0.0,0,0.0
17,1670220000,11,Torquay Surf Beach,1,3,Waist to head,2022120412,0.0,0,0.0,2022120412,9.08793,9,196.76,2022120412,0.0,0,0.0
18,1670223600,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,9.28478,9,195.97,2022120412,0.0,0,0.0
19,1670227200,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,9.35039,9,194.64,2022120412,0.0,0,0.0
20,1670230800,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,9.25197,9,192.81,2022120412,0.0,0,0.0
21,1670234400,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,9.02231,9,190.62,2022120412,0.0,0,0.0
22,1670238000,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,8.69423,9,188.58,2022120412,0.0,0,0.0
23,1670241600,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,8.36614,9,187.15,2022120412,0.0,0,0.0
24,1670245200,11,Torquay Surf Beach,2,3,Chest to overhead,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0,2022120412,6.36483,9,175.78
25,1670248800,11,Torquay Surf Beach,1,3,Waist to head,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0,2022120412,6.20079,8,177.69
26,1670252400,11,Torquay Surf Beach,1,3,Waist to head,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0,2022120412,6.20079,8,180.15
27,1670256000,11,Torquay Surf Beach,1,3,Waist to shoulder,2022120412,0.0,0,0.0,2022120412,0.0,0,0.0,2022120412,5.01969,8,179.36
28,1670259600,11,Torquay Surf Beach,1,3,Waist to shoulder,2022120412,1.04987,13,209.12,2022120412,0.0,0,0.0,2022120412,5.479,8,184.91
